ds,y
2020-01-24,0
2020-01-25,0
2020-01-26,0
2020-01-27,0
2020-01-28,0
2020-01-29,0
2020-01-30,0
2020-01-31,0
2020-02-01,0
2020-02-02,0
2020-02-03,0
2020-02-04,0
2020-02-05,0
2020-02-06,0
2020-02-07,0
2020-02-08,0
2020-02-09,0
2020-02-10,0
2020-02-11,0
2020-02-12,0
2020-02-13,0
2020-02-14,0
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,1
2020-02-25,2
2020-02-26,12
2020-02-27,22
2020-02-28,32
2020-02-29,45
2020-03-01,56
2020-03-02,86
2020-03-03,119
2020-03-04,180
2020-03-05,242
2020-03-06,315
2020-03-07,364
2020-03-08,432
2020-03-09,624
2020-03-10,834
2020-03-11,1167
2020-03-12,1523
2020-03-13,1954
2020-03-14,2370
2020-03-15,2695
2020-03-16,3755
2020-03-17,4837
2020-03-18,6042
2020-03-19,6877
2020-03-20,8016
2020-03-21,8707
2020-03-22,9253
2020-03-23,10714
2020-03-24,11955
2020-03-25,13024
2020-03-26,14138
2020-03-27,15445
2020-03-28,16167
2020-03-29,16599
2020-03-30,17906
2020-03-31,19040
2020-04-01,20053
2020-04-02,20930
2020-04-03,21857
2020-04-04,22343
2020-04-05,22624
2020-04-06,23548
2020-04-07,24263
2020-04-08,24875
2020-04-09,25434
2020-04-10,25743
2020-04-11,26004
2020-04-12,26223
2020-04-13,26468
2020-04-14,26892
2020-04-15,27220
2020-04-16,27540
2020-04-17,27831
2020-04-18,27976
2020-04-19,28063
2020-04-20,28340
2020-04-21,28553
2020-04-22,28708
2020-04-23,28915
2020-04-24,29082
2020-04-25,29169
2020-04-26,29230
2020-04-27,29403
2020-04-28,29556
2020-04-29,29676
2020-04-30,29777
2020-05-01,29860
2020-05-02,29907
2020-05-03,29929
2020-05-04,30019
2020-05-05,30092
2020-05-06,30171
2020-05-07,30217
2020-05-08,30276
2020-05-09,30315
2020-05-10,30331
2020-05-11,30378
2020-05-12,30420
2020-05-13,30457
2020-05-14,30494
2020-05-15,30535
2020-05-16,30550
2020-05-17,30562
2020-05-18,30596
2020-05-19,30632
2020-05-20,30661
2020-05-21,30672
2020-05-22,30692
2020-05-23,30706
2020-05-24,30716
2020-05-25,30731
2020-05-26,30749
2020-05-27,30774
2020-05-28,30804
2020-05-29,30825
2020-05-30,30835
2020-05-31,30842
2020-06-01,30845
2020-06-02,30868
2020-06-03,30891
2020-06-04,30908
2020-06-05,30923
2020-06-06,30933
2020-06-07,30941
2020-06-08,30966
2020-06-09,30977
2020-06-10,31001
2020-06-11,31026
2020-06-12,31060
2020-06-13,31069
2020-06-14,31081
2020-06-15,31113
2020-06-16,31134
2020-06-17,31152
2020-06-18,31170
2020-06-19,31207
2020-06-20,31239
2020-06-21,31252
2020-06-22,31308
2020-06-23,31345
2020-06-24,31409
2020-06-25,31457
2020-06-26,31549
2020-06-27,31585
2020-06-28,31609
